,624e62e7-2b0b-43dc-a992-77ab95adbbb8,ae87483e-d1ed-4169-a05b-5f53d38c7185,4f48bac6-9d0e-4879-93ad-5bf39b4c5915,3dd2b101-9f8d-41fa-9dc3-823729aefabb,bd1f5d39-0361-4717-9054-845ac2fa33bd,473a8148-3001-42ec-946e-55d479bfc9c4,7cfecc22-d53c-45b4-8eb2-cb8219ca531e,d8a3a3ca-39d7-46a2-9c50-0b5bc1717979,c737f0e5-1838-46ea-8806-89935bd3a560,1e8d1b09-d186-495e-bd1f-cb06afdd5b21,72b408a3-5924-4c60-8f7f-ff534de140fb,fa37f819-027b-4f6e-8e7d-1c80488f036f,f5afab11-faaa-4bf1-8d4f-d76bdf5381f4,04c14b60-34a4-40ab-aae2-bf4d616eb0d6,75ba05c7-3c77-4160-a72d-8dc15efee2c5
empty,1688.6852731092627,1731.165261104461,1599.7606572629236,1552.4778931572798,1721.7995378151452,1487.0468307323085,2131.327244897982,1533.8719387755268,1538.3852731092607,1547.7415456182641,1648.3250750300303,1565.674153661482,1699.236080432192,1401.7130342137011,1555.1108343337514
full,314.8633283313362,190.6963775510228,339.9936974789954,210.26591536614904,202.28884453781757,212.69770408163527,1215.238244297733,351.4430102040857,237.00967286915056,218.88741896758978,283.2671916003123,208.55178571428834,195.47058823529647,643.1535384153733,360.8953031212527
