,e785cb18-96e1-4215-931a-82a731d2ee5a,5fe079a9-6e53-4a9d-b974-eca5d0916632,b4d0f672-6436-483e-a0cd-fab4fe552a8c,7f9cad51-8a0c-4fa9-a6d4-8cf649d819ab,36816c9e-3b69-4b8c-b9f7-150b0edf94db,2e4a8f6d-d398-4749-bc74-a24efa3f5644,1607ca61-c966-483d-bbfb-d97027d507c1,62ec2345-9665-4fd2-9fa7-91ead95dc99b,79d9a5cb-3704-4a21-aedf-5989c70baed0,96e70afa-3ce0-4674-a331-8b85aed97068,496ebab5-e27f-46a4-91bd-28e5086eb594,8a6b6d27-9149-40ea-88b6-0c0d7446a0df,134fc269-ec25-466f-82e7-780beb314108,cfcfb74d-b13e-43fb-bc59-9eee4f6be818,eaea0bcc-2970-41e1-8821-29be122a65b0,0b011106-e5fe-4202-92bd-c89abd042249,11d4bcfe-bde2-42bd-8ebc-43ee77012480,3301af3b-a6fe-429e-8b01-c7b71249abdf,a3e91e80-9b8d-4bd6-bbd7-011319e05a0c,aae16e11-7f7e-4251-9e73-fd836db67b79,b5b36857-0f47-4df9-8c8a-0ff431875b18,e194deb4-afb0-4c83-aab2-71fcd13ca4e8,e3a7cfea-c281-46fe-8758-0bf2388181c0
empty,1548.303052220905,1659.8079021608828,1681.3548829532,1706.2711584634046,1625.079737914969,1571.0120978391526,1540.469444777928,1565.0018427371124,1446.4924129652018,1431.0590216086591,1644.6937064826109,1542.9829081632824,1572.0678331332704,1698.1215756302697,1682.2646608643647,1630.5350870348316,1599.9956260920217,1699.5764405762498,1512.4293337335102,1728.970243097258,1395.8338385354302,1404.9995408163425,2179.3761824730127
full,195.89532112845384,319.8869777911201,353.7763595438215,190.49767406963025,478.1381722689131,203.83039615846593,809.6968277311012,203.9349699879978,217.858652460987,214.87905462185137,442.0909453781564,190.7552701080457,209.77951380552474,206.91927370948645,486.98606842737655,532.8575330132114,296.86234993997937,343.7904921968827,213.2435894357769,191.86558523409602,496.1427731092494,300.7808463385388,1130.332824129665
