,ecadcf7b-cf9e-477c-a56d-99d9472c4072,d4a9fa6b-880c-4d5d-9650-dff9f10c8a5f,18def07f-6077-4543-a572-982cd63ef262,2a508d99-73fc-4992-8de0-f452a979f047,a7bbd831-d444-4011-b6df-37b47b8e218d,632c0d31-1145-49b7-b327-952ab64369d2,2e7c7f54-ff9c-4464-a1aa-d247d30333db,827fd8d9-b94a-414c-aa38-0bb6d7880527,8d2aba9c-3983-4227-a8ff-eac6143ee60e,a54a033f-6571-4319-adfe-52e6916be435,a1f343aa-dbbd-4b7e-ac42-58ee4bfffd06,ea6180ea-e2e3-476e-8e87-c1ae0abb504f,2e98f08e-3cfb-4594-9f9c-133fab16f7ca,69715520-6a46-417c-9e78-7e71e90389d7,6d43f154-1009-470a-95a2-f40fe4b8a204,f2aaa75a-0ea0-4e4a-8363-7c7a98c160d9,7d1d7a97-2d16-4ccd-aae6-5cf8ffc2afb7,8ddb5dd3-0822-485e-aebb-973df12c9dc9,286bb721-9cb2-448a-9c2f-aadd4a1bf2d6,195f9fb4-4486-4b3d-bb41-8a9d7715a931
empty,1701.667797118866,1498.8404141656827,1668.2379231692858,1616.9904831932952,1644.809216686693,1460.3660354141819,1445.4317406962937,1572.4731902761273,1516.4582082833304,1543.9461314525977,1509.53152460986,1649.2266236494777,1566.6857322929345,1631.5854171668848,1515.3286464585992,1511.8607052821292,1547.0489585834498,1566.8074490390222,1378.933160264121,1402.242603377985
full,200.62861344538078,397.93057623049685,513.6452821128511,181.10531212485233,193.02428871548875,212.732451980795,1338.1274759904115,209.36272509003868,231.10400960384456,458.54899759904504,216.190933373352,616.7018037214958,193.72324429772155,814.8821518607537,214.2481422569054,429.15806422569534,393.4453841536659,366.508418367351,817.7019657863236,241.59724489796207
