monat_jahr;jahr;monat;altersklasse;geschlecht;staat_d;kreis;quartiergruppe;anzahl
2013-11;2013;11;18-39;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;935
2015-04;2015;4;40-59;M;Schweiz;Kreis West;Winkeln;361
2019-12;2019;12;0-17;M;Schweiz;Kreis Centrum;St.Georgen;401
2013-11;2013;11;18-39;W;Schweiz;Kreis West;Lachen;837
2015-04;2015;4;40-59;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;155
2019-12;2019;12;0-17;W;Ausland;Kreis Centrum;St.Jakob;60
2013-11;2013;11;40-59;M;Schweiz;Kreis Ost;Rotmonten;256
2015-04;2015;4;40-59;W;Schweiz;Kreis Ost;St.Fiden;706
2019-12;2019;12;0-17;W;Ausland;Kreis West;Bruggen;454
2013-11;2013;11;40-59;M;Schweiz;Kreis West;Bruggen;1071
2015-04;2015;4;40-59;W;Schweiz;Kreis West;Bruggen;1170
2019-12;2019;12;0-17;W;Schweiz;Kreis Centrum;Innenstadt;24
2013-11;2013;11;40-59;W;Ausland;Kreis Centrum;Innenstadt;71
2015-04;2015;4;40-59;W;Schweiz;Kreis West;Lachen;547
2019-12;2019;12;0-17;W;Schweiz;Kreis Centrum;St.Georgen;386
2013-11;2013;11;40-59;W;Ausland;Kreis Ost;Neudorf;271
2015-04;2015;4;60-79;M;Ausland;Kreis Centrum;Innenstadt;38
2019-12;2019;12;0-17;W;Schweiz;Kreis Ost;Notkersegg;124
2013-11;2013;11;40-59;W;Ausland;Kreis Ost;Notkersegg;36
2015-04;2015;4;60-79;M;Ausland;Kreis Centrum;St.Jakob;39
2019-12;2019;12;18-39;M;Ausland;Kreis Centrum;Innenstadt;323
2013-11;2013;11;40-59;W;Ausland;Kreis Ost;St.Fiden;338
2015-04;2015;4;60-79;M;Ausland;Kreis Ost;St.Fiden;136
2019-12;2019;12;18-39;M;Ausland;Kreis Centrum;Riethüsli;292
2013-11;2013;11;40-59;W;Ausland;Nicht zuteilbar;nicht zuteilbar;24
2015-04;2015;4;60-79;M;Schweiz;Kreis Centrum;St.Jakob;198
2019-12;2019;12;18-39;M;Ausland;Kreis Ost;St.Fiden;708
2013-11;2013;11;40-59;W;Schweiz;Kreis Ost;Langgass-Heiligkreuz;624
2015-04;2015;4;60-79;W;Ausland;Kreis Centrum;Innenstadt;32
2019-12;2019;12;18-39;M;Schweiz;Kreis Centrum;Innenstadt;697
2013-11;2013;11;40-59;W;Schweiz;Kreis Ost;Neudorf;928
2015-04;2015;4;60-79;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;50
2019-12;2019;12;18-39;M;Schweiz;Kreis Centrum;Linsebühl-Dreilinden;713
2013-11;2013;11;60-79;M;Ausland;Kreis Centrum;St.Georgen;26
2015-04;2015;4;60-79;W;Ausland;Kreis Centrum;St.Georgen;25
2019-12;2019;12;18-39;M;Schweiz;Kreis Centrum;St.Georgen;593
2013-11;2013;11;60-79;M;Ausland;Kreis Ost;Neudorf;113
2015-04;2015;4;60-79;W;Ausland;Kreis Centrum;St.Jakob;44
2019-12;2019;12;18-39;M;Schweiz;Kreis Centrum;St.Jakob;596
2013-11;2013;11;60-79;M;Ausland;Kreis West;Bruggen;165
2015-04;2015;4;60-79;W;Ausland;Kreis Ost;Neudorf;122
