monat_jahr;jahr;monat;altersklasse;geschlecht;staat_d;kreis;quartiergruppe;anzahl
2015-05;2015;5;80+;W;Ausland;Kreis Centrum;St.Jakob;5
2018-01;2018;1;40-59;M;Schweiz;Kreis Ost;Rotmonten;265
2013-12;2013;12;60-79;M;Schweiz;Kreis Centrum;Riethüsli;241
2015-05;2015;5;80+;W;Ausland;Kreis Ost;Notkersegg;1
2018-01;2018;1;40-59;M;Schweiz;Kreis Ost;St.Fiden;611
2013-12;2013;12;60-79;M;Schweiz;Kreis West;Lachen;335
2015-05;2015;5;80+;W;Ausland;Kreis Ost;Rotmonten;5
2018-01;2018;1;40-59;M;Schweiz;Nicht zuteilbar;nicht zuteilbar;49
2013-12;2013;12;60-79;W;Ausland;Kreis Centrum;Linsebühl-Dreilinden;49
2015-05;2015;5;80+;W;Ausland;Kreis West;Bruggen;22
2018-01;2018;1;40-59;W;Ausland;Kreis Centrum;Innenstadt;71
2013-12;2013;12;60-79;W;Ausland;Kreis Centrum;Rosenberg;49
2015-05;2015;5;80+;W;Ausland;Kreis West;Winkeln;6
2018-01;2018;1;40-59;W;Ausland;Kreis Ost;Langgass-Heiligkreuz;391
2013-12;2013;12;60-79;W;Ausland;Kreis Ost;Rotmonten;26
2015-05;2015;5;80+;W;Schweiz;Kreis Centrum;St.Jakob;128
2018-01;2018;1;40-59;W;Ausland;Kreis Ost;Rotmonten;82
2013-12;2013;12;60-79;W;Ausland;Kreis West;Bruggen;116
